皮革装备声音,item.armor.equip_leather
蜜蜂：死亡,mob.bee.death
蜜蜂：受伤,mob.bee.hurt
蜜蜂：嗡嗡,mob.bee.loop
蜜蜂：高兴地嗡嗡叫,mob.bee.pollinate
蜜蜂：刺蛰,mob.bee.sting
烈焰人：呼吸,mob.blaze.breathe
烈焰人：死亡,mob.blaze.death
烈焰人：受伤,mob.blaze.hit
烈焰人：射击,mob.blaze.shoot
沼骸：咯咯声,mob.bogged.ambient
沼骸：死亡,mob.bogged.death
沼骸：受伤,mob.bogged.hurt
沼骸：咯咯声,mob.bogged.step
旋风人：蓄力,mob.breeze.charge
旋风人：死亡,mob.breeze.death
旋风人：反弹,mob.breeze.deflect
旋风人：受伤,mob.breeze.hurt
旋风人：飞行,mob.breeze.idle_air
旋风人：呼啸,mob.breeze.idle_ground
旋风人：吸气,mob.breeze.inhale
旋风人：跳跃,mob.breeze.jump
旋风人：着陆,mob.breeze.land
旋风人：射击,mob.breeze.shoot
旋风人：滑行,mob.breeze.slide
旋风人：旋转,mob.breeze.whirl
骆驼：呼噜,mob.camel.ambient
骆驼：冲刺,mob.camel.dash
骆驼：恢复体力,mob.camel.dash_ready
骆驼：死亡,mob.camel.death
骆驼：进食,mob.camel.eat
骆驼：受伤,mob.camel.hurt
骆驼：坐下,mob.camel.sit
骆驼：站起,mob.camel.stand
骆驼：脚步声,mob.camel.step
骆驼：踏沙,mob.camel.step_sand
骆驼尸壳：咕哝,mob.camel_husk.ambient
骆驼尸壳：冲刺,mob.camel_husk.dash
骆驼尸壳：恢复体力,mob.camel_husk.dash_ready
骆驼尸壳：死亡,mob.camel_husk.death
骆驼尸壳：进食,mob.camel_husk.eat
骆驼尸壳：受伤,mob.camel_husk.hurt
骆驼尸壳：坐下,mob.camel_husk.sit
骆驼尸壳：站起,mob.camel_husk.stand
猫：求食,mob.cat.beg
猫：求食,mob.cat.beg_for_food
猫：进食,mob.cat.eat
猫：嘶嘶声,mob.cat.hiss
猫：受伤,mob.cat.hit
猫：喵~,mob.cat.meow
猫：呼噜声,mob.cat.purr
猫：呼噜~喵~,mob.cat.purreow
猫：喵~（未驯服）,mob.cat.straymeow
鸡：受伤,mob.chicken.hurt
鸡：下蛋,mob.chicken.plop
鸡：咯咯叫,mob.chicken.say
鸡：行走,mob.chicken.step
铜傀儡：出现,mob.copper_golem.spawn
铜傀儡：旋转头部,mob.copper_golem.spin
铜傀儡：出现,mob.copper_golem.step
牛：受伤,mob.cow.hurt
牛：被挤奶,mob.cow.milk
牛：哞~,mob.cow.say
牛：行走,mob.cow.step
嘎枝：注视,mob.creaking.activate
嘎枝：嘎吱作响,mob.creaking.ambient
嘎枝：攻击,mob.creaking.attack
嘎枝：静息,mob.creaking.deactivate
嘎枝：碎裂,mob.creaking.death
嘎枝：驻足,mob.creaking.freeze
嘎枝：显现,mob.creaking.spawn
嘎枝：行走,mob.creaking.step
嘎枝：被击打,mob.creaking.sway
嘎枝：抽搐,mob.creaking.twitch
嘎枝：移动,mob.creaking.unfreeze
苦力怕：死亡,mob.creeper.death
苦力怕：受伤,mob.creeper.say
海豚：攻击,mob.dolphin.attack
海豚：吹气,mob.dolphin.blowhole
海豚：死亡,mob.dolphin.death
海豚：进食,mob.dolphin.eat
海豚：受伤,mob.dolphin.hurt
海豚：啾啾,mob.dolphin.idle
海豚：吹口哨,mob.dolphin.idle_water
海豚：跃起,mob.dolphin.jump
海豚：嬉戏,mob.dolphin.play
海豚：溅起水花,mob.dolphin.splash
海豚：游泳,mob.dolphin.swim
溺尸：死亡,mob.drowned.death
溺尸：死亡（水中）,mob.drowned.death_water
溺尸：受伤,mob.drowned.hurt
溺尸：受伤（水中）,mob.drowned.hurt_water
溺尸：呻吟,mob.drowned.say
溺尸：呻吟,mob.drowned.say_water
溺尸：投掷三叉戟,mob.drowned.shoot
溺尸：脚步声,mob.drowned.step
溺尸：游泳,mob.drowned.swim
远古守卫者：诅咒,mob.elderguardian.curse
远古守卫者：死亡,mob.elderguardian.death
远古守卫者：受伤,mob.elderguardian.hit
远古守卫者：低鸣,mob.elderguardian.idle
末影龙：死亡,mob.enderdragon.death
末影龙：拍打翅膀,mob.enderdragon.flap
末影龙：吼叫,mob.enderdragon.growl
末影龙：受伤,mob.enderdragon.hit
末影人：死亡,mob.endermen.death
末影人：受伤,mob.endermen.hit
末影人：低鸣,mob.endermen.idle
末影人：传送,mob.endermen.portal
末影人：尖叫,mob.endermen.scream
末影人：喊叫,mob.endermen.stare
末影螨：受伤,mob.endermite.hit
末影螨：死亡,mob.endermite.kill
末影螨：窜动,mob.endermite.say
末影螨：行走,mob.endermite.step
尖牙：咬合,mob.evocation_fangs.attack
唤魔者：咕哝,mob.evocation_illager.ambient
唤魔者：施法,mob.evocation_illager.cast_spell
唤魔者：欢呼,mob.evocation_illager.celebrate
唤魔者：死亡,mob.evocation_illager.death
唤魔者：受伤,mob.evocation_illager.hurt
唤魔者：准备攻击,mob.evocation_illager.prepare_attack
唤魔者：准备召唤,mob.evocation_illager.prepare_summon
唤魔者：准备施咒,mob.evocation_illager.prepare_wololo
鳕鱼：扑腾,mob.fish.flop
鳕鱼：受伤,mob.fish.hurt
溅起水花,mob.fish.step
狐狸：愤怒,mob.fox.aggro
狐狸：吱吱叫,mob.fox.ambient
狐狸：撕咬,mob.fox.bite
狐狸：死亡,mob.fox.death
狐狸：进食,mob.fox.eat
狐狸：受伤,mob.fox.hurt
狐狸：尖声叫,mob.fox.screech
狐狸：打鼾,mob.fox.sleep
狐狸：嗅探,mob.fox.sniff
狐狸：吐出,mob.fox.spit
青蛙：咕呱,mob.frog.ambient
青蛙：死亡,mob.frog.death
青蛙：进食,mob.frog.eat
青蛙：受伤,mob.frog.hurt
青蛙：跳跃,mob.frog.jump_to_block
青蛙：产卵,mob.frog.lay_spawn
青蛙：爬行,mob.frog.step
青蛙：捕捉,mob.frog.tongue
恶魂：深情尖叫,mob.ghast.affectionate_scream
恶魂：警告,mob.ghast.charge
恶魂：死亡,mob.ghast.death
恶魂：射击,mob.ghast.fireball
恶魂：哭泣,mob.ghast.moan
恶魂：受伤,mob.ghast.scream
小恶魂：咕咕,mob.ghastling.ambient
小恶魂：死亡,mob.ghastling.death
小恶魂：受伤,mob.ghastling.hurt
小恶魂：出现,mob.ghastling.spawn
发光鱿鱼：游泳,mob.glow_squid.ambient
发光鱿鱼：死亡,mob.glow_squid.death
发光鱿鱼：受伤,mob.glow_squid.hurt
发光鱿鱼：喷墨,mob.glow_squid.ink_squirt
山羊：咩~,mob.goat.ambient
山羊：喊叫,mob.goat.ambient.screamer
山羊：死亡,mob.goat.death
山羊：死亡（尖叫变种）,mob.goat.death.screamer
山羊：进食,mob.goat.eat
山羊：断角,mob.goat.horn_break
山羊：受伤,mob.goat.hurt
山羊：受伤（尖叫变种）,mob.goat.hurt.screamer
山羊：被挤奶（尖叫变种）,mob.goat.milk.screamer
山羊：跺脚,mob.goat.prepare_ram
山羊：跺脚（尖叫变种）,mob.goat.prepare_ram.screamer
山羊：冲撞,mob.goat.ram_impact
山羊：冲撞（尖叫变种）,mob.goat.ram_impact.screamer
山羊：脚步声,mob.goat.step
守卫者：低鸣,mob.guardian.ambient
守卫者：射击,mob.guardian.attack_loop
守卫者：死亡,mob.guardian.death
守卫者：扑腾,mob.guardian.flop
守卫者：受伤,mob.guardian.hit
守卫者：死亡（陆地上）,mob.guardian.land_death
守卫者：受伤（陆地上）,mob.guardian.land_hit
守卫者：弹跳,mob.guardian.land_idle
快乐恶魂：哼唱,mob.happy_ghast.ambient
快乐恶魂：死亡,mob.happy_ghast.death
快乐恶魂：就绪,mob.happy_ghast.goggles_down
快乐恶魂：停下,mob.happy_ghast.goggles_up
挽具：装备,mob.happy_ghast.harness_equip
挽具：卸下,mob.happy_ghast.harness_unequip
快乐恶魂：受伤,mob.happy_ghast.hurt
疣猪兽：咆哮,mob.hoglin.ambient
疣猪兽：怒吼,mob.hoglin.angry
疣猪兽：攻击,mob.hoglin.attack
疣猪兽：转化为僵尸疣猪兽,mob.hoglin.converted_to_zombified
疣猪兽：死亡,mob.hoglin.death
疣猪兽：嚎叫,mob.hoglin.howl
疣猪兽：受伤,mob.hoglin.hurt
疣猪兽：退缩,mob.hoglin.retreat
疣猪兽：脚步声,mob.hoglin.step
马：嘶鸣,mob.horse.angry
马铠：装备,mob.horse.armor
马：呼吸,mob.horse.breathe
马：死亡,mob.horse.death
驴：嘶鸣,mob.horse.donkey.angry
驴：死亡,mob.horse.donkey.death
驴：受伤,mob.horse.donkey.hit
驴：嘶叫,mob.horse.donkey.idle
马：进食,mob.horse.eat
马：奔腾,mob.horse.gallop
马：受伤,mob.horse.hit
马：嘶鸣,mob.horse.idle
马：跳跃,mob.horse.jump
马：着陆,mob.horse.land
鞍：装备,mob.horse.leather
骷髅马：死亡,mob.horse.skeleton.death
骷髅马：受伤,mob.horse.skeleton.hit
骷髅马：嘶叫,mob.horse.skeleton.idle
马：践踏,mob.horse.soft
马：践踏木制方块,mob.horse.wood
僵尸马：死亡,mob.horse.zombie.death
僵尸马：受伤,mob.horse.zombie.hit
僵尸马：嘶叫,mob.horse.zombie.idle
尸壳：低吼,mob.husk.ambient
尸壳：转化为僵尸,mob.husk.convert_to_zombie
尸壳：死亡,mob.husk.death
尸壳：受伤,mob.husk.hurt
尸壳：行走,mob.husk.step
鹦鹉：呼吸,mob.imitate.blaze
鹦鹉：咯咯声,mob.imitate.bogged
鹦鹉：呼啸,mob.imitate.breeze
鹦鹉：咕哝,mob.imitate.camel_husk
鹦鹉：嘎吱作响,mob.imitate.creaking
鹦鹉：呻吟,mob.imitate.drowned
鹦鹉：低鸣,mob.imitate.elder_guardian
鹦鹉：咆哮,mob.imitate.enderdragon
鹦鹉：窜动,mob.imitate.endermite
鹦鹉：咕哝,mob.imitate.evocation_illager
鹦鹉：哭泣,mob.imitate.ghast
鹦鹉：低鸣,mob.imitate.guardian
鹦鹉：低吼,mob.imitate.husk
鹦鹉：挤压,mob.imitate.magmacube
鹦鹉：咯咯声,mob.imitate.parched
鹦鹉：尖声叫,mob.imitate.phantom
鹦鹉：咕哝,mob.imitate.pillager
鹦鹉：呼噜,mob.imitate.ravager
鹦鹉：窥视,mob.imitate.shulker
鹦鹉：嘶嘶,mob.imitate.silverfish
鹦鹉：咯咯声,mob.imitate.skeleton
鹦鹉：挤压,mob.imitate.slime
鹦鹉：嘶嘶,mob.imitate.spider
鹦鹉：咯咯声,mob.imitate.stray
鹦鹉：恼人,mob.imitate.vex
鹦鹉：低语,mob.imitate.vindicator
鹦鹉：呻吟,mob.imitate.warden
鹦鹉：暗笑,mob.imitate.witch
鹦鹉：愤怒,mob.imitate.wither
鹦鹉：咯咯声,mob.imitate.wither_skeleton
鹦鹉：咆哮,mob.imitate.zoglin
鹦鹉：低吼,mob.imitate.zombie
鹦鹉：低吼,mob.imitate.zombie_villager
铁傀儡：受损,mob.irongolem.crack
铁傀儡：死亡,mob.irongolem.death
铁傀儡：受伤,mob.irongolem.hit
铁傀儡：修复,mob.irongolem.repair
铁傀儡：攻击,mob.irongolem.throw
铁傀儡：行走,mob.irongolem.walk
羊驼：怒吼,mob.llama.angry
羊驼：死亡,mob.llama.death
羊驼：进食,mob.llama.eat
羊驼：受伤,mob.llama.hurt
羊驼：吼叫,mob.llama.idle
羊驼：喷射唾沫,mob.llama.spit
羊驼：脚步声,mob.llama.step
羊驼：被装饰,mob.llama.swag
岩浆怪：挤压,mob.magmacube.big
岩浆怪：跳跃,mob.magmacube.jump
岩浆怪：挤压（小型）,mob.magmacube.small
哞菇：转化,mob.mooshroom.convert
哞菇：进食,mob.mooshroom.eat
哞菇：被挤出谜之炖菜,mob.mooshroom.suspicious_milk
鹦鹉螺：咔哒,mob.nautilus.ambient
鹦鹉螺：咔哒,mob.nautilus.ambient.in.water
鹦鹉螺：喷进,mob.nautilus.dash
鹦鹉螺：恢复体力,mob.nautilus.dash_ready
鹦鹉螺：死亡,mob.nautilus.death
鹦鹉螺：死亡,mob.nautilus.death.in.water
鹦鹉螺：进食,mob.nautilus.eat
鹦鹉螺：受伤,mob.nautilus.hurt
鹦鹉螺：受伤,mob.nautilus.hurt.in.water
鞍：装备,mob.nautilus.nautilus_saddle
鹦鹉螺：游泳,mob.nautilus.ride
鹦鹉螺：游泳,mob.nautilus.saddle
鞍：装备,mob.nautilus.saddle_underwater
鹦鹉螺：游泳,mob.nautilus.swim
豹猫：死亡,mob.ocelot.death
豹猫：喵~,mob.ocelot.idle
熊猫：撕咬,mob.panda.bite
熊猫：哀鸣,mob.panda.cant_breed
熊猫：死亡,mob.panda.death
熊猫：进食,mob.panda.eat
熊猫：受伤,mob.panda.hurt
熊猫：喘息,mob.panda.idle
熊猫：发怒,mob.panda.idle.aggressive
熊猫：呜咽,mob.panda.idle.worried
熊猫：鼻痒,mob.panda.presneeze
熊猫：打喷嚏,mob.panda.sneeze
熊猫：脚步声,mob.panda.step
熊猫：喘息（幼年）,mob.panda_baby.idle
焦骸：咯咯声,mob.parched.ambient
焦骸：死亡,mob.parched.death
焦骸：受伤,mob.parched.hurt
鹦鹉：死亡,mob.parrot.death
鹦鹉：进食,mob.parrot.eat
鹦鹉：扑翼,mob.parrot.fly
鹦鹉：受伤,mob.parrot.hurt
鹦鹉：说话,mob.parrot.idle
鹦鹉：嘎吱作响,mob.parrot.imitate_creaking
鹦鹉：行走,mob.parrot.step
幻翼：撕咬,mob.phantom.bite
幻翼：死亡,mob.phantom.death
幻翼：振翅,mob.phantom.flap
幻翼：受伤,mob.phantom.hurt
幻翼：尖声叫,mob.phantom.idle
幻翼：俯冲,mob.phantom.swoop
猪：加速,mob.pig.boost
猪：死亡,mob.pig.death
猪：哼叫,mob.pig.say
猪：行走,mob.pig.step
猪灵：端详物品,mob.piglin.admiring_item
猪灵：哼叫,mob.piglin.ambient
猪灵：愤怒地哼叫,mob.piglin.angry
猪灵：庆祝,mob.piglin.celebrate
猪灵：转化为僵尸猪灵,mob.piglin.converted_to_zombified
猪灵：死亡,mob.piglin.death
猪灵：受伤,mob.piglin.hurt
猪灵：羡慕地哼叫,mob.piglin.jealous
猪灵：退缩,mob.piglin.retreat
猪灵：脚步声,mob.piglin.step
猪灵蛮兵：哼叫,mob.piglin_brute.ambient
猪灵蛮兵：愤怒地哼叫,mob.piglin_brute.angry
猪灵蛮兵：转化为僵尸猪灵,mob.piglin_brute.converted_to_zombified
猪灵蛮兵：死亡,mob.piglin_brute.death
猪灵蛮兵：受伤,mob.piglin_brute.hurt
猪灵蛮兵：脚步声,mob.piglin_brute.step
掠夺者：欢呼,mob.pillager.celebrate
掠夺者：死亡,mob.pillager.death
掠夺者：受伤,mob.pillager.hurt
掠夺者：咕哝,mob.pillager.idle
玩家：溺水,mob.player.hurt_drown
玩家：冻伤,mob.player.hurt_freeze
玩家：燃烧,mob.player.hurt_on_fire
北极熊：死亡,mob.polarbear.death
北极熊：受伤,mob.polarbear.hurt
北极熊：低吼,mob.polarbear.idle
北极熊：行走,mob.polarbear.step
北极熊：咆哮,mob.polarbear.warning
幼年北极熊：哼哼,mob.polarbear_baby.idle
兔子：死亡,mob.rabbit.death
兔子：跳动,mob.rabbit.hop
兔子：受伤,mob.rabbit.hurt
兔子：吱吱叫,mob.rabbit.idle
劫掠兽：呼噜,mob.ravager.ambient
劫掠兽：撕咬,mob.ravager.bite
劫掠兽：欢呼,mob.ravager.celebrate
劫掠兽：死亡,mob.ravager.death
劫掠兽：受伤,mob.ravager.hurt
劫掠兽：咆哮,mob.ravager.roar
劫掠兽：脚步声,mob.ravager.step
劫掠兽：眩晕,mob.ravager.stun
绵羊：咩~,mob.sheep.say
绵羊：剪毛,mob.sheep.shear
绵羊：行走,mob.sheep.step
潜影贝：窥视,mob.shulker.ambient
潜影弹：爆炸,mob.shulker.bullet.hit
潜影贝：闭合,mob.shulker.close
潜影贝：受伤（关闭时）,mob.shulker.close.hurt
潜影贝：死亡,mob.shulker.death
潜影贝：受伤,mob.shulker.hurt
潜影贝：打开,mob.shulker.open
潜影贝：射击,mob.shulker.shoot
潜影贝：传送,mob.shulker.teleport
蠹虫：受伤,mob.silverfish.hit
蠹虫：死亡,mob.silverfish.kill
蠹虫：嘶嘶,mob.silverfish.say
蠹虫：行走,mob.silverfish.step
骷髅：转化为流浪者,mob.skeleton.convert_to_stray
骷髅：死亡,mob.skeleton.death
骷髅：受伤,mob.skeleton.hurt
骷髅：咯咯声,mob.skeleton.say
骷髅：行走,mob.skeleton.step
史莱姆：攻击,mob.slime.attack
史莱姆：挤压,mob.slime.big
史莱姆：死亡,mob.slime.death
史莱姆：受伤,mob.slime.hurt
史莱姆：跳跃,mob.slime.jump
史莱姆：挤压（小型）,mob.slime.small
史莱姆：挤压,mob.slime.squish
嗅探兽：死亡,mob.sniffer.death
嗅探兽：挖掘,mob.sniffer.digging
嗅探兽：丢下种子,mob.sniffer.drop_seed
嗅探兽：进食,mob.sniffer.eat
嗅探兽：愉悦,mob.sniffer.happy
嗅探兽：受伤,mob.sniffer.hurt
嗅探兽：呼噜,mob.sniffer.idle
嗅探兽：嗅探,mob.sniffer.long_sniff
嗅探兽：下蛋,mob.sniffer.plop
嗅探兽：搜寻,mob.sniffer.searching
嗅探兽：嗅闻,mob.sniffer.sniffsniff
嗅探兽：站起,mob.sniffer.stand_up
嗅探兽：脚步声,mob.sniffer.step
雪傀儡：死亡,mob.snowgolem.death
雪傀儡：受伤,mob.snowgolem.hurt
雪傀儡：射击,mob.snowgolem.shoot
蜘蛛：死亡,mob.spider.death
蜘蛛：嘶嘶,mob.spider.say
蜘蛛：爬行,mob.spider.step
鱿鱼：游泳,mob.squid.ambient
鱿鱼：死亡,mob.squid.death
鱿鱼：受伤,mob.squid.hurt
鱿鱼：喷墨,mob.squid.ink_squirt
流浪者：咯咯声,mob.stray.ambient
流浪者：死亡,mob.stray.death
流浪者：受伤,mob.stray.hurt
流浪者：行走,mob.stray.step
炽足兽：死亡,mob.strider.death
炽足兽：进食,mob.strider.eat
炽足兽：受伤,mob.strider.hurt
炽足兽：啾啾,mob.strider.idle
炽足兽：退缩,mob.strider.panic
炽足兽：行走,mob.strider.step
炽足兽：在熔岩上行走,mob.strider.step_lava
炽足兽：颤鸣,mob.strider.tempt
蝌蚪：成长,mob.tadpole.convert_to_frog
蝌蚪：死亡,mob.tadpole.death
蝌蚪：受伤,mob.tadpole.hurt
海龟：啾啾,mob.turtle.ambient
海龟：死亡,mob.turtle.death
海龟：受伤,mob.turtle.hurt
海龟：爬行,mob.turtle.step
海龟：游泳,mob.turtle.swim
海龟蛋：孵化,mob.turtle_baby.born
幼年海龟：死亡,mob.turtle_baby.death
幼年海龟：受伤,mob.turtle_baby.hurt
幼年海龟：爬行,mob.turtle_baby.step
恼鬼：恼人,mob.vex.ambient
恼鬼：尖叫,mob.vex.charge
恼鬼：死亡,mob.vex.death
恼鬼：受伤,mob.vex.hurt
村民：死亡,mob.villager.death
村民：交易,mob.villager.haggle
村民：受伤,mob.villager.hit
村民：喃喃自语,mob.villager.idle
村民：拒绝,mob.villager.no
村民：同意,mob.villager.yes
卫道士：欢呼,mob.vindicator.celebrate
卫道士：死亡,mob.vindicator.death
卫道士：受伤,mob.vindicator.hurt
卫道士：低语,mob.vindicator.idle
流浪商人：死亡,mob.wanderingtrader.death
流浪商人：隐身,mob.wanderingtrader.disappeared
流浪商人：喝奶,mob.wanderingtrader.drink_milk
流浪商人：饮用药水,mob.wanderingtrader.drink_potion
流浪商人：交易,mob.wanderingtrader.haggle
流浪商人：受伤,mob.wanderingtrader.hurt
流浪商人：喃喃自语,mob.wanderingtrader.idle
流浪商人：拒绝,mob.wanderingtrader.no
流浪商人：现身,mob.wanderingtrader.reappeared
流浪商人：同意,mob.wanderingtrader.yes
监守者：愤怒地呻吟,mob.warden.agitated
监守者：狂怒,mob.warden.angry
监守者：击中,mob.warden.attack
监守者：卷须颤动,mob.warden.clicking
监守者：死亡,mob.warden.death
监守者：掘地,mob.warden.dig
监守者：现身,mob.warden.emerge
监守者：心跳声,mob.warden.heartbeat
监守者：受伤,mob.warden.hurt
监守者：呻吟,mob.warden.idle
监守者：察觉到某物,mob.warden.listening
监守者：愤怒地察觉到某物,mob.warden.listening_angry
监守者：接近,mob.warden.nearby_close
监守者：逼近,mob.warden.nearby_closer
监守者：迫近,mob.warden.nearby_closest
监守者：咆哮,mob.warden.roar
监守者：嗅闻,mob.warden.sniff
监守者：发射音波,mob.warden.sonic_boom
监守者：蓄力,mob.warden.sonic_charge
监守者：脚步声,mob.warden.step
女巫：暗笑,mob.witch.ambient
女巫：欢呼,mob.witch.celebrate
女巫：死亡,mob.witch.death
女巫：饮用药水,mob.witch.drink
女巫：受伤,mob.witch.hurt
女巫：投掷,mob.witch.throw
凋灵：愤怒,mob.wither.ambient
凋灵：破坏方块,mob.wither.break_block
凋灵：死亡,mob.wither.death
凋灵：受伤,mob.wither.hurt
凋灵：攻击,mob.wither.shoot
凋灵：解放,mob.wither.spawn
狼：吠叫,mob.wolf.bark
狼：死亡,mob.wolf.death
狼：嚎叫,mob.wolf.growl
狼：受伤,mob.wolf.hurt
狼：喘息,mob.wolf.panting
狼：摇动,mob.wolf.shake
狼：行走,mob.wolf.step
狼：哀鸣,mob.wolf.whine
僵尸疣猪兽：怒吼,mob.zoglin.angry
僵尸疣猪兽：攻击,mob.zoglin.attack
僵尸疣猪兽：死亡,mob.zoglin.death
僵尸疣猪兽：受伤,mob.zoglin.hurt
僵尸疣猪兽：咆哮,mob.zoglin.idle
僵尸疣猪兽：脚步声,mob.zoglin.step
僵尸：死亡,mob.zombie.death
僵尸：受伤,mob.zombie.hurt
僵尸村民：撕心裂肺,mob.zombie.remedy
僵尸：低吼,mob.zombie.say
僵尸：行走,mob.zombie.step
僵尸村民：哀嚎,mob.zombie.unfect
门：晃动,mob.zombie.wood
门：毁坏,mob.zombie.woodbreak
僵尸鹦鹉螺：嗡嗡作响,mob.zombie_nautilus.ambient
僵尸鹦鹉螺：嗡嗡作响,mob.zombie_nautilus.ambient.in.water
僵尸鹦鹉螺：喷进,mob.zombie_nautilus.dash
僵尸鹦鹉螺：恢复体力,mob.zombie_nautilus.dash_ready
僵尸鹦鹉螺：死亡,mob.zombie_nautilus.death
僵尸鹦鹉螺：死亡,mob.zombie_nautilus.death.in.water
僵尸鹦鹉螺：进食,mob.zombie_nautilus.eat
僵尸鹦鹉螺：受伤,mob.zombie_nautilus.hurt
僵尸鹦鹉螺：受伤,mob.zombie_nautilus.hurt.in.water
僵尸鹦鹉螺：游泳,mob.zombie_nautilus.swim
僵尸村民：死亡,mob.zombie_villager.death
僵尸村民：受伤,mob.zombie_villager.hurt
僵尸村民：低吼,mob.zombie_villager.say
僵尸猪灵：呼噜,mob.zombiepig.zpig
僵尸猪灵：愤怒地呼噜,mob.zombiepig.zpigangry
僵尸猪灵：死亡,mob.zombiepig.zpigdeath
僵尸猪灵：受伤,mob.zombiepig.zpighurt
生存模式背景音乐,music.game
玄武岩三角洲背景音乐,music.game.basalt_deltas
创造模式背景音乐,music.game.creative
制作人员界面背景音乐,music.game.credits
绯红森林背景音乐,music.game.crimson_forest
深暗之域背景音乐,music.game.deep_dark
溶洞背景音乐,music.game.dripstone_caves
末地背景音乐,music.game.end
末影龙战斗背景音乐,music.game.endboss
冰封山峰背景音乐,music.game.frozen_peaks
雪林背景音乐,music.game.grove
尖峭山峰背景音乐,music.game.jagged_peaks
繁茂洞穴背景音乐,music.game.lush_caves
草甸背景音乐,music.game.meadow
下界背景音乐,music.game.nether
下界荒地背景音乐,music.game.nether_wastes
积雪山坡背景音乐,music.game.snowy_slopes
灵魂沙峡谷背景音乐,music.game.soulsand_valley
裸岩山峰背景音乐,music.game.stony_peaks
沼泽背景音乐,music.game.swamp_music
诡异森林背景音乐,music.game.warped_forest
水下背景音乐,music.game.water
森林背景音乐,music.game_and_wild_equal_chance
针叶林背景音乐,music.game_and_wild_favor_game
游戏菜单背景音乐,music.menu
竹林背景音乐,music.overworld.bamboo_jungle
樱花树林背景音乐,music.overworld.cherry_grove
深暗之域背景音乐,music.overworld.deep_dark
沙漠背景音乐,music.overworld.desert
溶洞背景音乐,music.overworld.dripstone_caves
繁花森林背景音乐,music.overworld.flower_forest
雪林背景音乐,music.overworld.grove
尖峭山峰背景音乐,music.overworld.jagged_peaks
丛林背景音乐,music.overworld.jungle
丛林边缘背景音乐,music.overworld.jungle_edge
繁茂洞穴背景音乐,music.overworld.lush_caves
恶地背景音乐,music.overworld.mesa
积雪山坡背景音乐,music.overworld.snowy_slopes
裸岩山峰背景音乐,music.overworld.stony_peaks
音符盒：播放班卓琴,note.banjo
音符盒：播放贝斯,note.bass
音符盒：播放贝斯,note.bassattack
音符盒：播放底鼓,note.bd
音符盒：播放钟琴,note.bell
音符盒：播放合成器,note.bit
音符盒：播放管钟,note.chime
音符盒：播放牛铃,note.cow_bell
音符盒：播放“苦力怕：嘶~”,note.creeper
音符盒：播放迪吉里杜管,note.didgeridoo
音符盒：播放“末影龙：咆哮”,note.enderdragon
音符盒：播放长笛,note.flute
音符盒：播放吉他,note.guitar
音符盒：播放竖琴,note.harp
音符盒：播放击鼓沿,note.hat
音符盒：播放颤音琴,note.iron_xylophone
音符盒：播放“猪灵：哼叫”,note.piglin
音符盒：播放电钢琴,note.pling
音符盒：播放“骷髅：咯咯声”,note.skeleton
音符盒：播放小军鼓,note.snare
音符盒：播放“凋灵骷髅：咯咯声”,note.witherskeleton
音符盒：播放木琴,note.xylophone
音符盒：播放“僵尸：低吼”,note.zombie
玻璃瓶：碎裂,ominous_bottle.end_use
不祥之物：准备,ominous_item_spawner.about_to_spawn_item
不祥之物：掉落,ominous_item_spawner.spawn_item
不祥之物：出现,ominous_item_spawner.spawn_item_begin
竹门：打开,open.bamboo_wood_door
竹栅栏门：打开,open.bamboo_wood_fence_gate
竹栅栏门：打开,open.bamboo_wood_trapdoor
樱花木门：打开,open.cherry_wood_door
樱花木栅栏门：打开,open.cherry_wood_fence_gate
樱花木活板门：打开,open.cherry_wood_trapdoor
栅栏门：打开,open.fence_gate
铁门：打开,open.iron_door
铁活板门：打开,open.iron_trapdoor
下界木门：打开,open.nether_wood_door
下界木栅栏门：打开,open.nether_wood_fence_gate
下界木活板门：打开,open.nether_wood_trapdoor
木门：打开,open.wooden_door
木质活板门：打开,open.wooden_trapdoor
铜门：打开,open_door.copper
铜活板门：打开,open_trapdoor.copper
灵魂：逸散,particle.soul_escape
发光浆果：弹出,pick_berries.cave_vines
书：被取出,pickup.chiseled_bookshelf
附魔书：被取出,pickup_enchanted.chiseled_bookshelf
紫水晶块：被放置,place.amethyst_block
紫水晶簇：被放置,place.amethyst_cluster
杜鹃花丛：被放置,place.azalea
杜鹃树叶：被放置,place.azalea_leaves
竹子：被放置,place.bamboo_wood
大型垂滴叶：被放置,place.big_dripleaf
方解石：被放置,place.calcite
樱花树叶：被放置,place.cherry_leaves
樱花木：被放置,place.cherry_wood
雕纹书架：被放置,place.chiseled_bookshelf
铜块：被放置,place.copper
铜灯：被放置,place.copper_bulb
深板岩：被放置,place.deepslate
深板岩砖：被放置,place.deepslate_bricks
缠根泥土：被放置,place.dirt_with_roots
滴水石块：被放置,place.dripstone_block
垂根：被放置,place.hanging_roots
铁质方块：被放置,place.iron
大型紫晶芽：被放置,place.large_amethyst_bud
中型紫晶芽：被放置,place.medium_amethyst_bud
苔藓：被放置,place.moss
下界木头：被放置,place.nether_wood
粉红色花簇：被放置,place.pink_petals
滴水石锥：被放置,place.pointed_dripstone
细雪：被放置,place.powder_snow
幽匿块：被放置,place.sculk
幽匿催发体：被放置,place.sculk_catalyst
幽匿感测体：被放置,place.sculk_sensor
