金合欢木按钮, acacia_button
插上红色蜡烛的蛋糕, red_candle_cake
红色地毯, red_carpet
红色混凝土, red_concrete
红色混凝土粉末, red_concrete_powder
红色带釉陶瓦, red_glazed_terracotta
红色蘑菇, red_mushroom
红色蘑菇方块, red_mushroom_block
红色下界砖块, red_nether_brick
红色下界砖双层台阶, red_nether_brick_double_slab
红色下界砖台阶, red_nether_brick_slab
红色下界砖楼梯, red_nether_brick_stairs
红色下界砖墙, red_nether_brick_wall
红沙, red_sand
红砂岩, red_sandstone
红砂岩双层台阶, red_sandstone_double_slab
红砂岩台阶, red_sandstone_slab
红砂岩楼梯, red_sandstone_stairs
红砂岩墙, red_sandstone_wall
红色潜影盒, red_shulker_box
红色染色玻璃, red_stained_glass
红色染色玻璃板, red_stained_glass_pane
红色陶瓦, red_terracotta
红色郁金香, red_tulip
红色羊毛, red_wool
红石块, redstone_block
红石灯, redstone_lamp
红石矿石, redstone_ore
红石火把, redstone_torch
红石线, redstone_wire
甘蔗, reeds
强化深板岩, reinforced_deepslate
循环型命令方块, repeating_command_block
树脂块, resin_block
树脂砖双层台阶, resin_brick_double_slab
树脂砖台阶, resin_brick_slab
树脂砖楼梯, resin_brick_stairs
树脂砖墙, resin_brick_wall
树脂砖块, resin_bricks
树脂团, resin_clump
重生锚, respawn_anchor
玫瑰丛, rose_bush
沙子, sand
砂岩, sandstone
砂岩双层台阶, sandstone_double_slab
砂岩台阶, sandstone_slab
砂岩楼梯, sandstone_stairs
砂岩墙, sandstone_wall
脚手架, scaffolding
幽匿块, sculk
幽匿催发体, sculk_catalyst
幽匿感测体, sculk_sensor
幽匿尖啸体, sculk_shrieker
幽匿脉络, sculk_vein
海晶灯, sea_lantern
海泡菜, sea_pickle
海草, seagrass
矮枯草丛, short_dry_grass
矮草丛, short_grass
菌光体, shroomlight
淡灰色带釉陶瓦, silver_glazed_terracotta
骷髅头颅, skeleton_skull
黏液块, slime
小型紫晶芽, small_amethyst_bud
小型垂滴叶, small_dripleaf_block
锻造台, smithing_table
烟熏炉, smoker
平滑玄武岩, smooth_basalt
平滑石英块, smooth_quartz
平滑石英双层台阶, smooth_quartz_double_slab
平滑石英台阶, smooth_quartz_slab
平滑石英楼梯, smooth_quartz_stairs
平滑红砂岩, smooth_red_sandstone
平滑红砂岩双层台阶, smooth_red_sandstone_double_slab
平滑红砂岩台阶, smooth_red_sandstone_slab
平滑红砂岩楼梯, smooth_red_sandstone_stairs
平滑砂岩, smooth_sandstone
平滑砂岩双层台阶, smooth_sandstone_double_slab
平滑砂岩台阶, smooth_sandstone_slab
平滑砂岩楼梯, smooth_sandstone_stairs
平滑石头, smooth_stone
平滑石头双层台阶, smooth_stone_double_slab
平滑石头台阶, smooth_stone_slab
嗅探兽蛋, sniffer_egg
雪块, snow
雪, snow_layer
灵魂营火, soul_campfire
灵魂火, soul_fire
灵魂灯笼, soul_lantern
灵魂沙, soul_sand
灵魂土, soul_soil
灵魂火把, soul_torch
海绵, sponge
孢子花, spore_blossom
云杉木按钮, spruce_button
云杉木门, spruce_door
云杉木双层台阶, spruce_double_slab
云杉木栅栏, spruce_fence
云杉木栅栏门, spruce_fence_gate
悬挂式云杉木告示牌, spruce_hanging_sign
云杉树叶, spruce_leaves
云杉原木, spruce_log
云杉木板, spruce_planks
云杉木压力板, spruce_pressure_plate
云杉树苗, spruce_sapling
云杉木展示架, spruce_shelf
云杉木台阶, spruce_slab
云杉木楼梯, spruce_stairs
云杉木告示牌, spruce_standing_sign
云杉木活板门, spruce_trapdoor
墙上的云杉木告示牌, spruce_wall_sign
云杉木, spruce_wood
旗帜, standing_banner
橡木告示牌, standing_sign
黏性活塞, sticky_piston
黏性活塞头, sticky_piston_arm_collision
石头, stone
石砖双层台阶, stone_brick_double_slab
石砖台阶, stone_brick_slab
石砖楼梯, stone_brick_stairs
石砖墙, stone_brick_wall
石砖, stone_bricks
石头按钮, stone_button
石头压力板, stone_pressure_plate
圆石楼梯, stone_stairs
切石机, stonecutter_block
去皮金合欢原木, stripped_acacia_log
去皮金合欢木, stripped_acacia_wood
去皮竹块, stripped_bamboo_block
去皮白桦原木, stripped_birch_log
去皮白桦木, stripped_birch_wood
去皮樱花原木, stripped_cherry_log
去皮樱花木, stripped_cherry_wood
去皮绯红菌核, stripped_crimson_hyphae
去皮绯红菌柄, stripped_crimson_stem
去皮深色橡木原木, stripped_dark_oak_log
去皮深色橡木, stripped_dark_oak_wood
去皮丛林原木, stripped_jungle_log
去皮丛林木, stripped_jungle_wood
去皮红树原木, stripped_mangrove_log
去皮红树木, stripped_mangrove_wood
去皮橡木原木, stripped_oak_log
去皮橡木, stripped_oak_wood
去皮苍白橡木原木, stripped_pale_oak_log
去皮苍白橡木, stripped_pale_oak_wood
去皮云杉原木, stripped_spruce_log
去皮云杉木, stripped_spruce_wood
去皮诡异菌核, stripped_warped_hyphae
去皮诡异菌柄, stripped_warped_stem
结构方块, structure_block
结构空位, structure_void
向日葵, sunflower
可疑的沙砾, suspicious_gravel
可疑的沙子, suspicious_sand
甜浆果丛, sweet_berry_bush
高枯草丛, tall_dry_grass
高草丛, tall_grass
标靶, target
遮光玻璃, tinted_glass
TNT, tnt
火把, torch
火把花, torchflower
火把花植株, torchflower_crop
橡木活板门, trapdoor
陷阱箱, trapped_chest
试炼刷怪笼, trial_spawner
绊线, trip_wire
绊线钩, tripwire_hook
管珊瑚, tube_coral
管珊瑚块, tube_coral_block
管珊瑚扇, tube_coral_fan
墙上的管珊瑚扇, tube_coral_wall_fan
凝灰岩, tuff
凝灰岩砖双层台阶, tuff_brick_double_slab
凝灰岩砖台阶, tuff_brick_slab
凝灰岩砖楼梯, tuff_brick_stairs
凝灰岩砖墙, tuff_brick_wall
凝灰岩砖, tuff_bricks
凝灰岩双层台阶, tuff_double_slab
凝灰岩台阶, tuff_slab
凝灰岩楼梯, tuff_stairs
凝灰岩墙, tuff_wall
海龟蛋, turtle_egg
缠怨藤, twisting_vines
潜影盒, undyed_shulker_box
熄灭的红石火把, unlit_redstone_torch
未激活的红石比较器, unpowered_comparator
未激活的红石中继器, unpowered_repeater
宝库, vault
青翠蛙明灯, verdant_froglight
藤蔓, vine
墙上的旗帜, wall_banner
墙上的橡木告示牌, wall_sign
诡异木按钮, warped_button
诡异木门, warped_door
诡异木双层台阶, warped_double_slab
诡异木栅栏, warped_fence
诡异木栅栏门, warped_fence_gate
诡异菌, warped_fungus
悬挂式诡异木告示牌, warped_hanging_sign
诡异菌核, warped_hyphae
诡异菌岩, warped_nylium
诡异木板, warped_planks
诡异木压力板, warped_pressure_plate
诡异菌索, warped_roots
诡异木展示架, warped_shelf
诡异木台阶, warped_slab
诡异木楼梯, warped_stairs
诡异木告示牌, warped_standing_sign
诡异菌柄, warped_stem
诡异木活板门, warped_trapdoor
墙上的诡异木告示牌, warped_wall_sign
诡异疣块, warped_wart_block
水, water
睡莲, waterlily
涂蜡的雕纹铜块, waxed_chiseled_copper
涂蜡的铜块, waxed_copper
涂蜡的铜栏杆, waxed_copper_bars
涂蜡的铜灯, waxed_copper_bulb
涂蜡的铜链, waxed_copper_chain
涂蜡的铜箱子, waxed_copper_chest
涂蜡的铜门, waxed_copper_door
涂蜡的铜傀儡像, waxed_copper_golem_statue
涂蜡的铜格栅, waxed_copper_grate
涂蜡的铜灯笼, waxed_copper_lantern
涂蜡的铜活板门, waxed_copper_trapdoor
涂蜡的切制铜块, waxed_cut_copper
涂蜡的切制铜台阶, waxed_cut_copper_slab
涂蜡的切制铜楼梯, waxed_cut_copper_stairs
涂蜡的切制铜双层台阶, waxed_double_cut_copper_slab
涂蜡的斑驳雕纹铜块, waxed_exposed_chiseled_copper
涂蜡的斑驳铜块, waxed_exposed_copper
涂蜡的斑驳铜栏杆, waxed_exposed_copper_bars
涂蜡的斑驳铜灯, waxed_exposed_copper_bulb
涂蜡的斑驳铜链, waxed_exposed_copper_chain
涂蜡的斑驳铜箱子, waxed_exposed_copper_chest
涂蜡的斑驳铜门, waxed_exposed_copper_door
涂蜡的斑驳铜傀儡像, waxed_exposed_copper_golem_statue
涂蜡的斑驳铜格栅, waxed_exposed_copper_grate
涂蜡的斑驳铜灯笼, waxed_exposed_copper_lantern
涂蜡的斑驳铜活板门, waxed_exposed_copper_trapdoor
涂蜡的斑驳切制铜块, waxed_exposed_cut_copper
涂蜡的斑驳切制铜台阶, waxed_exposed_cut_copper_slab
涂蜡的斑驳切制铜楼梯, waxed_exposed_cut_copper_stairs
涂蜡的斑驳切制铜双层台阶, waxed_exposed_double_cut_copper_slab
涂蜡的斑驳避雷针, waxed_exposed_lightning_rod
涂蜡的避雷针, waxed_lightning_rod
涂蜡的氧化雕纹铜块, waxed_oxidized_chiseled_copper
涂蜡的氧化铜块, waxed_oxidized_copper
涂蜡的氧化铜栏杆, waxed_oxidized_copper_bars
涂蜡的氧化铜灯, waxed_oxidized_copper_bulb
涂蜡的氧化铜链, waxed_oxidized_copper_chain
涂蜡的氧化铜箱子, waxed_oxidized_copper_chest
涂蜡的氧化铜门, waxed_oxidized_copper_door
涂蜡的氧化铜傀儡像, waxed_oxidized_copper_golem_statue
涂蜡的氧化铜格栅, waxed_oxidized_copper_grate
涂蜡的氧化铜灯笼, waxed_oxidized_copper_lantern
涂蜡的氧化铜活板门, waxed_oxidized_copper_trapdoor
涂蜡的氧化切制铜块, waxed_oxidized_cut_copper
涂蜡的氧化切制铜台阶, waxed_oxidized_cut_copper_slab
涂蜡的氧化切制铜楼梯, waxed_oxidized_cut_copper_stairs
涂蜡的氧化切制铜双层台阶, waxed_oxidized_double_cut_copper_slab
涂蜡的氧化避雷针, waxed_oxidized_lightning_rod
涂蜡的锈蚀雕纹铜块, waxed_weathered_chiseled_copper
涂蜡的锈蚀铜块, waxed_weathered_copper
涂蜡的锈蚀铜栏杆, waxed_weathered_copper_bars
涂蜡的锈蚀铜灯, waxed_weathered_copper_bulb
涂蜡的锈蚀铜链, waxed_weathered_copper_chain
涂蜡的锈蚀铜箱子, waxed_weathered_copper_chest
涂蜡的锈蚀铜门, waxed_weathered_copper_door
涂蜡的锈蚀铜傀儡像, waxed_weathered_copper_golem_statue
涂蜡的锈蚀铜格栅, waxed_weathered_copper_grate
涂蜡的锈蚀铜灯笼, waxed_weathered_copper_lantern
涂蜡的锈蚀铜活板门, waxed_weathered_copper_trapdoor
涂蜡的锈蚀切制铜块, waxed_weathered_cut_copper
涂蜡的锈蚀切制铜台阶, waxed_weathered_cut_copper_slab
涂蜡的锈蚀切制铜楼梯, waxed_weathered_cut_copper_stairs
涂蜡的锈蚀切制铜双层台阶, waxed_weathered_double_cut_copper_slab
涂蜡的锈蚀避雷针, waxed_weathered_lightning_rod
锈蚀的雕纹铜块, weathered_chiseled_copper
锈蚀的铜块, weathered_copper
锈蚀的铜栏杆, weathered_copper_bars
锈蚀的铜灯, weathered_copper_bulb
锈蚀的铜链, weathered_copper_chain
锈蚀的铜箱子, weathered_copper_chest
锈蚀的铜门, weathered_copper_door
锈蚀的铜傀儡像, weathered_copper_golem_statue
锈蚀的铜格栅, weathered_copper_grate
锈蚀的铜灯笼, weathered_copper_lantern
锈蚀的铜活板门, weathered_copper_trapdoor
锈蚀的切制铜块, weathered_cut_copper
锈蚀的切制铜台阶, weathered_cut_copper_slab
锈蚀的切制铜楼梯, weathered_cut_copper_stairs
锈蚀的切制铜双层台阶, weathered_double_cut_copper_slab
锈蚀的避雷针, weathered_lightning_rod
蜘蛛网, web
垂泪藤, weeping_vines
湿海绵, wet_sponge
小麦植株, wheat
白色蜡烛, white_candle
插上白色蜡烛的蛋糕, white_candle_cake
白色地毯, white_carpet
白色混凝土, white_concrete
白色混凝土粉末, white_concrete_powder
白色带釉陶瓦, white_glazed_terracotta
白色潜影盒, white_shulker_box
白色染色玻璃, white_stained_glass
白色染色玻璃板, white_stained_glass_pane
白色陶瓦, white_terracotta
白色郁金香, white_tulip
白色羊毛, white_wool
野花簇, wildflowers
凋灵玫瑰, wither_rose
凋灵骷髅头颅, wither_skeleton_skull
橡木按钮, wooden_button
橡木门, wooden_door
橡木压力板, wooden_pressure_plate
黄色蜡烛, yellow_candle
插上黄色蜡烛的蛋糕, yellow_candle_cake
黄色地毯, yellow_carpet
黄色混凝土, yellow_concrete
黄色混凝土粉末, yellow_concrete_powder
黄色带釉陶瓦, yellow_glazed_terracotta
黄色潜影盒, yellow_shulker_box
黄色染色玻璃, yellow_stained_glass
黄色染色玻璃板, yellow_stained_glass_pane
黄色陶瓦, yellow_terracotta
黄色羊毛, yellow_wool
僵尸的头, zombie_head
