金合欢木船, acacia_boat
鹦鹉螺刷怪蛋, nautilus_spawn_egg
下界砖块, nether_brick
下界砖栅栏, nether_brick_fence
下界砖台阶, nether_brick_slab
下界砖楼梯, nether_brick_stairs
下界砖墙, nether_brick_wall
下界金矿石, nether_gold_ore
下界苗, nether_sprouts
下界之星, nether_star
下界疣, nether_wart
下界疣块, nether_wart_block
下界砖, netherbrick
下界合金斧, netherite_axe
下界合金块, netherite_block
下界合金靴子, netherite_boots
下界合金胸甲, netherite_chestplate
下界合金头盔, netherite_helmet
下界合金锄, netherite_hoe
下界合金马铠, netherite_horse_armor
下界合金锭, netherite_ingot
下界合金护腿, netherite_leggings
下界合金鹦鹉螺铠, netherite_nautilus_armor
下界合金镐, netherite_pickaxe
下界合金碎片, netherite_scrap
下界合金锹, netherite_shovel
下界合金矛, netherite_spear
下界合金剑, netherite_sword
下界合金升级 锻造模板, netherite_upgrade_smithing_template
下界岩, netherrack
石头台阶, normal_stone_slab
石头楼梯, normal_stone_stairs
音符盒, noteblock
橡木船, oak_boat
橡木运输船, oak_chest_boat
橡木栅栏, oak_fence
悬挂式橡木告示牌, oak_hanging_sign
橡树树叶, oak_leaves
橡木原木, oak_log
橡木木板, oak_planks
橡树树苗, oak_sapling
橡木展示架, oak_shelf
橡木告示牌, oak_sign
橡木台阶, oak_slab
橡木楼梯, oak_stairs
橡木, oak_wood
侦测器, observer
黑曜石, obsidian
豹猫刷怪蛋, ocelot_spawn_egg
赭黄蛙明灯, ochre_froglight
不祥之瓶, ominous_bottle
不祥试炼钥匙, ominous_trial_key
张开的眼眸花, open_eyeblossom
橙色收纳袋, orange_bundle
橙色蜡烛, orange_candle
橙色地毯, orange_carpet
橙色混凝土, orange_concrete
橙色混凝土粉末, orange_concrete_powder
橙色染料, orange_dye
橙色带釉陶瓦, orange_glazed_terracotta
橙色挽具, orange_harness
橙色潜影盒, orange_shulker_box
橙色染色玻璃, orange_stained_glass
橙色染色玻璃板, orange_stained_glass_pane
橙色陶瓦, orange_terracotta
橙色郁金香, orange_tulip
橙色羊毛, orange_wool
滨菊, oxeye_daisy
氧化的雕纹铜块, oxidized_chiseled_copper
氧化的铜块, oxidized_copper
氧化的铜栏杆, oxidized_copper_bars
氧化的铜灯, oxidized_copper_bulb
氧化的铜链, oxidized_copper_chain
氧化的铜箱子, oxidized_copper_chest
氧化的铜门, oxidized_copper_door
氧化的铜傀儡像, oxidized_copper_golem_statue
氧化的铜格栅, oxidized_copper_grate
氧化的铜灯笼, oxidized_copper_lantern
氧化的铜活板门, oxidized_copper_trapdoor
氧化的切制铜块, oxidized_cut_copper
氧化的切制铜台阶, oxidized_cut_copper_slab
氧化的切制铜楼梯, oxidized_cut_copper_stairs
氧化的避雷针, oxidized_lightning_rod
浮冰, packed_ice
泥坯, packed_mud
画, painting
苍白垂须, pale_hanging_moss
苍白苔藓块, pale_moss_block
苍白覆地苔藓, pale_moss_carpet
苍白橡木船, pale_oak_boat
苍白橡木按钮, pale_oak_button
苍白橡木运输船, pale_oak_chest_boat
苍白橡木门, pale_oak_door
苍白橡木栅栏, pale_oak_fence
苍白橡木栅栏门, pale_oak_fence_gate
悬挂式苍白橡木告示牌, pale_oak_hanging_sign
苍白橡树树叶, pale_oak_leaves
苍白橡木原木, pale_oak_log
苍白橡木木板, pale_oak_planks
苍白橡木压力板, pale_oak_pressure_plate
苍白橡树树苗, pale_oak_sapling
苍白橡木展示架, pale_oak_shelf
苍白橡木告示牌, pale_oak_sign
苍白橡木台阶, pale_oak_slab
苍白橡木楼梯, pale_oak_stairs
苍白橡木活板门, pale_oak_trapdoor
苍白橡木, pale_oak_wood
熊猫刷怪蛋, panda_spawn_egg
纸, paper
药水箭, tipped_arrow
成书, written_book
焦骸刷怪蛋, parched_spawn_egg
鹦鹉刷怪蛋, parrot_spawn_egg
珠光蛙明灯, pearlescent_froglight
牡丹, peony
石化橡木台阶, petrified_oak_slab
幻翼膜, phantom_membrane
幻翼刷怪蛋, phantom_spawn_egg
猪刷怪蛋, pig_spawn_egg
猪鼻旗帜图案, piglin_banner_pattern
猪灵蛮兵刷怪蛋, piglin_brute_spawn_egg
猪灵的头, piglin_head
猪灵刷怪蛋, piglin_spawn_egg
掠夺者刷怪蛋, pillager_spawn_egg
粉红色收纳袋, pink_bundle
粉红色蜡烛, pink_candle
粉红色地毯, pink_carpet
粉红色混凝土, pink_concrete
粉红色混凝土粉末, pink_concrete_powder
粉红色染料, pink_dye
粉红色带釉陶瓦, pink_glazed_terracotta
粉红色挽具, pink_harness
粉红色花簇, pink_petals
粉红色潜影盒, pink_shulker_box
粉红色染色玻璃, pink_stained_glass
粉红色染色玻璃板, pink_stained_glass_pane
粉红色陶瓦, pink_terracotta
粉红色郁金香, pink_tulip
粉红色羊毛, pink_wool
活塞, piston
瓶子草, pitcher_plant
瓶子草荚果, pitcher_pod
玩家的头, player_head
富饶纹样陶片, plenty_pottery_sherd
灰化土, podzol
滴水石锥, pointed_dripstone
毒马铃薯, poisonous_potato
北极熊刷怪蛋, polar_bear_spawn_egg
磨制安山岩, polished_andesite
磨制安山岩台阶, polished_andesite_slab
磨制安山岩楼梯, polished_andesite_stairs
磨制玄武岩, polished_basalt
磨制黑石, polished_blackstone
磨制黑石砖台阶, polished_blackstone_brick_slab
磨制黑石砖楼梯, polished_blackstone_brick_stairs
磨制黑石砖墙, polished_blackstone_brick_wall
磨制黑石砖, polished_blackstone_bricks
磨制黑石按钮, polished_blackstone_button
磨制黑石压力板, polished_blackstone_pressure_plate
磨制黑石台阶, polished_blackstone_slab
磨制黑石楼梯, polished_blackstone_stairs
磨制黑石墙, polished_blackstone_wall
磨制深板岩, polished_deepslate
磨制深板岩台阶, polished_deepslate_slab
磨制深板岩楼梯, polished_deepslate_stairs
磨制深板岩墙, polished_deepslate_wall
磨制闪长岩, polished_diorite
磨制闪长岩台阶, polished_diorite_slab
磨制闪长岩楼梯, polished_diorite_stairs
磨制花岗岩, polished_granite
磨制花岗岩台阶, polished_granite_slab
磨制花岗岩楼梯, polished_granite_stairs
磨制凝灰岩, polished_tuff
磨制凝灰岩台阶, polished_tuff_slab
磨制凝灰岩楼梯, polished_tuff_stairs
磨制凝灰岩墙, polished_tuff_wall
爆裂紫颂果, popped_chorus_fruit
虞美人, poppy
生猪排, porkchop
马铃薯, potato
药水, potion
细雪桶, powder_snow_bucket
海晶石, prismarine
海晶石砖台阶, prismarine_brick_slab
海晶石砖, prismarine_bricks
海晶石砖楼梯, prismarine_bricks_stairs
海晶砂粒, prismarine_crystals
海晶碎片, prismarine_shard
海晶石台阶, prismarine_slab
海晶石楼梯, prismarine_stairs
海晶石墙, prismarine_wall
珍宝纹样陶片, prize_pottery_sherd
河豚, pufferfish
河豚桶, pufferfish_bucket
河豚刷怪蛋, pufferfish_spawn_egg
南瓜, pumpkin
南瓜派, pumpkin_pie
南瓜种子, pumpkin_seeds
紫色收纳袋, purple_bundle
紫色蜡烛, purple_candle
紫色地毯, purple_carpet
紫色混凝土, purple_concrete
紫色混凝土粉末, purple_concrete_powder
紫色染料, purple_dye
紫色带釉陶瓦, purple_glazed_terracotta
紫色挽具, purple_harness
紫色潜影盒, purple_shulker_box
紫色染色玻璃, purple_stained_glass
紫色染色玻璃板, purple_stained_glass_pane
紫色陶瓦, purple_terracotta
紫色羊毛, purple_wool
紫珀块, purpur_block
紫珀柱, purpur_pillar
紫珀台阶, purpur_slab
紫珀楼梯, purpur_stairs
下界石英, quartz
石英块, quartz_block
石英砖, quartz_bricks
下界石英矿石, quartz_ore
石英柱, quartz_pillar
石英台阶, quartz_slab
石英楼梯, quartz_stairs
兔子, rabbit
兔子脚, rabbit_foot
兔子皮, rabbit_hide
兔子刷怪蛋, rabbit_spawn_egg
兔肉煲, rabbit_stew
铁轨, rail
牧民盔甲纹饰 锻造模板, raiser_armor_trim_smithing_template
劫掠兽刷怪蛋, ravager_spawn_egg
粗铜, raw_copper
粗铜块, raw_copper_block
粗金, raw_gold
粗金块, raw_gold_block
粗铁, raw_iron
粗铁块, raw_iron_block
追溯指针, recovery_compass
红色收纳袋, red_bundle
红色蜡烛, red_candle
红色地毯, red_carpet
红色混凝土, red_concrete
红色混凝土粉末, red_concrete_powder
红色染料, red_dye
红色带釉陶瓦, red_glazed_terracotta
红色挽具, red_harness
红色蘑菇, red_mushroom
红色蘑菇方块, red_mushroom_block
红色下界砖块, red_nether_brick
红色下界砖台阶, red_nether_brick_slab
红色下界砖楼梯, red_nether_brick_stairs
红色下界砖墙, red_nether_brick_wall
红沙, red_sand
红砂岩, red_sandstone
红砂岩台阶, red_sandstone_slab
红砂岩楼梯, red_sandstone_stairs
红砂岩墙, red_sandstone_wall
红色潜影盒, red_shulker_box
红色染色玻璃, red_stained_glass
红色染色玻璃板, red_stained_glass_pane
红色陶瓦, red_terracotta
红色郁金香, red_tulip
红色羊毛, red_wool
红石粉, redstone
红石块, redstone_block
红石灯, redstone_lamp
红石矿石, redstone_ore
红石火把, redstone_torch
强化深板岩, reinforced_deepslate
红石中继器, repeater
循环型命令方块, repeating_command_block
树脂块, resin_block
树脂砖, resin_brick
树脂砖台阶, resin_brick_slab
树脂砖楼梯, resin_brick_stairs
树脂砖墙, resin_brick_wall
树脂砖块, resin_bricks
树脂团, resin_clump
重生锚, respawn_anchor
肋骨盔甲纹饰 锻造模板, rib_armor_trim_smithing_template
玫瑰丛, rose_bush
腐肉, rotten_flesh
鞍, saddle
鲑鱼, salmon
鲑鱼桶, salmon_bucket
鲑鱼刷怪蛋, salmon_spawn_egg
沙子, sand
砂岩, sandstone
砂岩台阶, sandstone_slab
砂岩楼梯, sandstone_stairs
砂岩墙, sandstone_wall
脚手架, scaffolding
刮削纹样陶片, scrape_pottery_sherd
幽匿块, sculk
幽匿催发体, sculk_catalyst
幽匿感测体, sculk_sensor
幽匿尖啸体, sculk_shrieker
幽匿脉络, sculk_vein
海晶灯, sea_lantern
海泡菜, sea_pickle
海草, seagrass
哨兵盔甲纹饰 锻造模板, sentry_armor_trim_smithing_template
塑造盔甲纹饰 锻造模板, shaper_armor_trim_smithing_template
麦捆纹样陶片, sheaf_pottery_sherd
剪刀, shears
绵羊刷怪蛋, sheep_spawn_egg
树荫纹样陶片, shelter_pottery_sherd
盾牌, shield
矮枯草丛, short_dry_grass
矮草丛, short_grass
菌光体, shroomlight
潜影壳, shulker_shell
潜影贝刷怪蛋, shulker_spawn_egg
幽静盔甲纹饰 锻造模板, silence_armor_trim_smithing_template
淡灰色带釉陶瓦, silver_glazed_terracotta
蠹虫刷怪蛋, silverfish_spawn_egg
骷髅马刷怪蛋, skeleton_horse_spawn_egg
骷髅头颅, skeleton_skull
骷髅刷怪蛋, skeleton_spawn_egg
头颅盾徽旗帜图案, skull_banner_pattern
头颅纹样陶片, skull_pottery_sherd
黏液块, slime
黏液球, slime_ball
史莱姆刷怪蛋, slime_spawn_egg
小型紫晶芽, small_amethyst_bud
小型垂滴叶, small_dripleaf_block
锻造台, smithing_table
烟熏炉, smoker
平滑玄武岩, smooth_basalt
平滑石英块, smooth_quartz
平滑石英台阶, smooth_quartz_slab
平滑石英楼梯, smooth_quartz_stairs
平滑红砂岩, smooth_red_sandstone
平滑红砂岩台阶, smooth_red_sandstone_slab
平滑红砂岩楼梯, smooth_red_sandstone_stairs
平滑砂岩, smooth_sandstone
平滑砂岩台阶, smooth_sandstone_slab
平滑砂岩楼梯, smooth_sandstone_stairs
平滑石头, smooth_stone
平滑石头台阶, smooth_stone_slab
嗅探兽蛋, sniffer_egg
嗅探兽刷怪蛋, sniffer_spawn_egg
嗅探纹样陶片, snort_pottery_sherd
猪鼻盔甲纹饰 锻造模板, snout_armor_trim_smithing_template
雪块, snow
雪傀儡刷怪蛋, snow_golem_spawn_egg
雪, snow_layer
雪球, snowball
灵魂营火, soul_campfire
灵魂灯笼, soul_lantern
灵魂沙, soul_sand
灵魂土, soul_soil
灵魂火把, soul_torch
蜘蛛眼, spider_eye
蜘蛛刷怪蛋, spider_spawn_egg
尖塔盔甲纹饰 锻造模板, spire_armor_trim_smithing_template
喷溅药水, splash_potion
海绵, sponge
孢子花, spore_blossom
云杉木船, spruce_boat
云杉木按钮, spruce_button
云杉木运输船, spruce_chest_boat
云杉木门, spruce_door
云杉木栅栏, spruce_fence
云杉木栅栏门, spruce_fence_gate
悬挂式云杉木告示牌, spruce_hanging_sign
云杉树叶, spruce_leaves
云杉原木, spruce_log
云杉木板, spruce_planks
云杉木压力板, spruce_pressure_plate
云杉树苗, spruce_sapling
云杉木展示架, spruce_shelf
云杉木告示牌, spruce_sign
云杉木台阶, spruce_slab
云杉木楼梯, spruce_stairs
云杉木活板门, spruce_trapdoor
云杉木, spruce_wood
望远镜, spyglass
鱿鱼刷怪蛋, squid_spawn_egg
木棍, stick
黏性活塞, sticky_piston
石头, stone
石斧, stone_axe
石砖台阶, stone_brick_slab
石砖楼梯, stone_brick_stairs
石砖墙, stone_brick_wall
石砖, stone_bricks
石头按钮, stone_button
石锄, stone_hoe
石镐, stone_pickaxe
石头压力板, stone_pressure_plate
石锹, stone_shovel
石矛, stone_spear
圆石楼梯, stone_stairs
石剑, stone_sword
切石机, stonecutter_block
流浪者刷怪蛋, stray_spawn_egg
炽足兽刷怪蛋, strider_spawn_egg
线, string
去皮金合欢原木, stripped_acacia_log
去皮金合欢木, stripped_acacia_wood
去皮竹块, stripped_bamboo_block
去皮白桦原木, stripped_birch_log
去皮白桦木, stripped_birch_wood
去皮樱花原木, stripped_cherry_log
去皮樱花木, stripped_cherry_wood
去皮绯红菌核, stripped_crimson_hyphae
去皮绯红菌柄, stripped_crimson_stem
去皮深色橡木原木, stripped_dark_oak_log
去皮深色橡木, stripped_dark_oak_wood
去皮丛林原木, stripped_jungle_log
去皮丛林木, stripped_jungle_wood
去皮红树原木, stripped_mangrove_log
去皮红树木, stripped_mangrove_wood
去皮橡木原木, stripped_oak_log
去皮橡木, stripped_oak_wood
去皮苍白橡木原木, stripped_pale_oak_log
去皮苍白橡木, stripped_pale_oak_wood
去皮云杉原木, stripped_spruce_log
去皮云杉木, stripped_spruce_wood
去皮诡异菌核, stripped_warped_hyphae
去皮诡异菌柄, stripped_warped_stem
结构方块, structure_block
结构空位, structure_void
糖, sugar
甘蔗, sugar_cane
向日葵, sunflower
可疑的沙砾, suspicious_gravel
可疑的沙子, suspicious_sand
谜之炖菜, suspicious_stew
甜浆果, sweet_berries
蝌蚪桶, tadpole_bucket
蝌蚪刷怪蛋, tadpole_spawn_egg
高枯草丛, tall_dry_grass
高草丛, tall_grass
标靶, target
潮汐盔甲纹饰 锻造模板, tide_armor_trim_smithing_template
遮光玻璃, tinted_glass
TNT, tnt
TNT矿车, tnt_minecart
火把, torch
火把花, torchflower
火把花种子, torchflower_seeds
不死图腾, totem_of_undying
行商羊驼刷怪蛋, trader_llama_spawn_egg
橡木活板门, trapdoor
陷阱箱, trapped_chest
试炼钥匙, trial_key
试炼刷怪笼, trial_spawner
三叉戟, trident
绊线钩, tripwire_hook
热带鱼, tropical_fish
热带鱼桶, tropical_fish_bucket
热带鱼刷怪蛋, tropical_fish_spawn_egg
管珊瑚, tube_coral
管珊瑚块, tube_coral_block
管珊瑚扇, tube_coral_fan
凝灰岩, tuff
凝灰岩砖台阶, tuff_brick_slab
凝灰岩砖楼梯, tuff_brick_stairs
凝灰岩砖墙, tuff_brick_wall
凝灰岩砖, tuff_bricks
凝灰岩台阶, tuff_slab
凝灰岩楼梯, tuff_stairs
凝灰岩墙, tuff_wall
海龟蛋, turtle_egg
海龟壳, turtle_helmet
海龟鳞甲, turtle_scute
海龟刷怪蛋, turtle_spawn_egg
缠怨藤, twisting_vines
潜影盒, undyed_shulker_box
宝库, vault
青翠蛙明灯, verdant_froglight
恼鬼盔甲纹饰 锻造模板, vex_armor_trim_smithing_template
恼鬼刷怪蛋, vex_spawn_egg
村民刷怪蛋, villager_spawn_egg
卫道士刷怪蛋, vindicator_spawn_egg
藤蔓, vine
流浪商人刷怪蛋, wandering_trader_spawn_egg
监守盔甲纹饰 锻造模板, ward_armor_trim_smithing_template
监守者刷怪蛋, warden_spawn_egg
诡异木按钮, warped_button
诡异木门, warped_door
诡异木栅栏, warped_fence
诡异木栅栏门, warped_fence_gate
诡异菌, warped_fungus
诡异菌钓竿, warped_fungus_on_a_stick
悬挂式诡异木告示牌, warped_hanging_sign
诡异菌核, warped_hyphae
诡异菌岩, warped_nylium
诡异木板, warped_planks
诡异木压力板, warped_pressure_plate
诡异菌索, warped_roots
诡异木展示架, warped_shelf
诡异木告示牌, warped_sign
诡异木台阶, warped_slab
诡异木楼梯, warped_stairs
诡异菌柄, warped_stem
诡异木活板门, warped_trapdoor
诡异疣块, warped_wart_block
水桶, water_bucket
睡莲, waterlily
涂蜡的雕纹铜块, waxed_chiseled_copper
涂蜡的铜块, waxed_copper
涂蜡的铜栏杆, waxed_copper_bars
涂蜡的铜灯, waxed_copper_bulb
涂蜡的铜链, waxed_copper_chain
涂蜡的铜箱子, waxed_copper_chest
涂蜡的铜门, waxed_copper_door
涂蜡的铜傀儡像, waxed_copper_golem_statue
涂蜡的铜格栅, waxed_copper_grate
涂蜡的铜灯笼, waxed_copper_lantern
涂蜡的铜活板门, waxed_copper_trapdoor
涂蜡的切制铜块, waxed_cut_copper
涂蜡的切制铜台阶, waxed_cut_copper_slab
涂蜡的切制铜楼梯, waxed_cut_copper_stairs
涂蜡的斑驳雕纹铜块, waxed_exposed_chiseled_copper
涂蜡的斑驳铜块, waxed_exposed_copper
涂蜡的斑驳铜栏杆, waxed_exposed_copper_bars
涂蜡的斑驳铜灯, waxed_exposed_copper_bulb
涂蜡的斑驳铜链, waxed_exposed_copper_chain
涂蜡的斑驳铜箱子, waxed_exposed_copper_chest
涂蜡的斑驳铜门, waxed_exposed_copper_door
涂蜡的斑驳铜傀儡像, waxed_exposed_copper_golem_statue
涂蜡的斑驳铜格栅, waxed_exposed_copper_grate
涂蜡的斑驳铜灯笼, waxed_exposed_copper_lantern
涂蜡的斑驳铜活板门, waxed_exposed_copper_trapdoor
涂蜡的斑驳切制铜块, waxed_exposed_cut_copper
涂蜡的斑驳切制铜台阶, waxed_exposed_cut_copper_slab
涂蜡的斑驳切制铜楼梯, waxed_exposed_cut_copper_stairs
涂蜡的斑驳避雷针, waxed_exposed_lightning_rod
涂蜡的避雷针, waxed_lightning_rod
涂蜡的氧化雕纹铜块, waxed_oxidized_chiseled_copper
涂蜡的氧化铜块, waxed_oxidized_copper
涂蜡的氧化铜栏杆, waxed_oxidized_copper_bars
涂蜡的氧化铜灯, waxed_oxidized_copper_bulb
涂蜡的氧化铜链, waxed_oxidized_copper_chain
涂蜡的氧化铜箱子, waxed_oxidized_copper_chest
涂蜡的氧化铜门, waxed_oxidized_copper_door
涂蜡的氧化铜傀儡像, waxed_oxidized_copper_golem_statue
涂蜡的氧化铜格栅, waxed_oxidized_copper_grate
涂蜡的氧化铜灯笼, waxed_oxidized_copper_lantern
涂蜡的氧化铜活板门, waxed_oxidized_copper_trapdoor
涂蜡的氧化切制铜块, waxed_oxidized_cut_copper
涂蜡的氧化切制铜台阶, waxed_oxidized_cut_copper_slab
涂蜡的氧化切制铜楼梯, waxed_oxidized_cut_copper_stairs
涂蜡的氧化避雷针, waxed_oxidized_lightning_rod
涂蜡的锈蚀雕纹铜块, waxed_weathered_chiseled_copper
涂蜡的锈蚀铜块, waxed_weathered_copper
涂蜡的锈蚀铜栏杆, waxed_weathered_copper_bars
涂蜡的锈蚀铜灯, waxed_weathered_copper_bulb
涂蜡的锈蚀铜链, waxed_weathered_copper_chain
涂蜡的锈蚀铜箱子, waxed_weathered_copper_chest
涂蜡的锈蚀铜门, waxed_weathered_copper_door
涂蜡的锈蚀铜傀儡像, waxed_weathered_copper_golem_statue
涂蜡的锈蚀铜格栅, waxed_weathered_copper_grate
涂蜡的锈蚀铜灯笼, waxed_weathered_copper_lantern
涂蜡的锈蚀铜活板门, waxed_weathered_copper_trapdoor
涂蜡的锈蚀切制铜块, waxed_weathered_cut_copper
涂蜡的锈蚀切制铜台阶, waxed_weathered_cut_copper_slab
涂蜡的锈蚀切制铜楼梯, waxed_weathered_cut_copper_stairs
涂蜡的锈蚀避雷针, waxed_weathered_lightning_rod
向导盔甲纹饰 锻造模板, wayfinder_armor_trim_smithing_template
锈蚀的雕纹铜块, weathered_chiseled_copper
锈蚀的铜块, weathered_copper
锈蚀的铜栏杆, weathered_copper_bars
锈蚀的铜灯, weathered_copper_bulb
锈蚀的铜链, weathered_copper_chain
锈蚀的铜箱子, weathered_copper_chest
锈蚀的铜门, weathered_copper_door
锈蚀的铜傀儡像, weathered_copper_golem_statue
锈蚀的铜格栅, weathered_copper_grate
锈蚀的铜灯笼, weathered_copper_lantern
锈蚀的铜活板门, weathered_copper_trapdoor
锈蚀的切制铜块, weathered_cut_copper
锈蚀的切制铜台阶, weathered_cut_copper_slab
锈蚀的切制铜楼梯, weathered_cut_copper_stairs
锈蚀的避雷针, weathered_lightning_rod
蜘蛛网, web
垂泪藤, weeping_vines
湿海绵, wet_sponge
小麦, wheat
小麦种子, wheat_seeds
白色收纳袋, white_bundle
白色蜡烛, white_candle
白色地毯, white_carpet
白色混凝土, white_concrete
白色混凝土粉末, white_concrete_powder
白色染料, white_dye
白色带釉陶瓦, white_glazed_terracotta
白色挽具, white_harness
白色潜影盒, white_shulker_box
白色染色玻璃, white_stained_glass
白色染色玻璃板, white_stained_glass_pane
白色陶瓦, white_terracotta
白色郁金香, white_tulip
白色羊毛, white_wool
荒野盔甲纹饰 锻造模板, wild_armor_trim_smithing_template
野花簇, wildflowers
风弹, wind_charge
女巫刷怪蛋, witch_spawn_egg
凋灵玫瑰, wither_rose
凋灵骷髅头颅, wither_skeleton_skull
凋灵骷髅刷怪蛋, wither_skeleton_spawn_egg
凋灵刷怪蛋, wither_spawn_egg
狼铠, wolf_armor
狼刷怪蛋, wolf_spawn_egg
木斧, wooden_axe
橡木按钮, wooden_button
橡木门, wooden_door
木锄, wooden_hoe
木镐, wooden_pickaxe
橡木压力板, wooden_pressure_plate
木锹, wooden_shovel
木矛, wooden_spear
木剑, wooden_sword
书与笔, writable_book
黄色收纳袋, yellow_bundle
黄色蜡烛, yellow_candle
黄色地毯, yellow_carpet
黄色混凝土, yellow_concrete
黄色混凝土粉末, yellow_concrete_powder
黄色染料, yellow_dye
黄色带釉陶瓦, yellow_glazed_terracotta
黄色挽具, yellow_harness
黄色潜影盒, yellow_shulker_box
黄色染色玻璃, yellow_stained_glass
黄色染色玻璃板, yellow_stained_glass_pane
黄色陶瓦, yellow_terracotta
黄色羊毛, yellow_wool
僵尸疣猪兽刷怪蛋, zoglin_spawn_egg
僵尸的头, zombie_head
僵尸马刷怪蛋, zombie_horse_spawn_egg
僵尸鹦鹉螺刷怪蛋, zombie_nautilus_spawn_egg
僵尸猪灵刷怪蛋, zombie_pigman_spawn_egg
僵尸刷怪蛋, zombie_spawn_egg
僵尸村民刷怪蛋, zombie_villager_spawn_egg
